Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2037-12-01,53111.23663673962,3331136.7618563087,3421782311.8611517,33571.88460648869,2105628.6025189706,2699427740.005903,20408.09756264595,1279995.8791291541,2137014721.4252458
2038-01-01,52800.32599715164,3311636.446541351,3425093948.307693,33380.73848810988,2093639.9179742516,2701521379.9238772,20276.81226049169,1271761.6649780388,2138286483.0902238
2038-02-01,52487.01121439849,3291985.343367073,3428385933.65106,33190.82540141041,2081728.5691764608,2703603108.493054,20158.886291593255,1264365.348208729,2139550848.4384325
2038-03-01,52197.74786323037,3273842.7459818088,3431659776.397042,33005.1500828449,2070083.013196032,2705673191.50625,20034.28896775837,1256550.604057805,2140807399.0424902
2038-04-01,51883.02477857891,3254103.314112469,3434913879.7111545,32796.2681215492,2056981.9365835655,2707730173.4428334,19913.886482034035,1248998.9601531746,2142056398.0026433
2038-05-01,51622.86457354304,3237786.0660526194,3438151665.777207,32607.43015375538,2045138.0192435374,2709775311.462077,19778.87361028042,1240530.952836788,2143296928.95548
2038-06-01,51349.813848055914,3220660.324550067,3441372326.101757,32427.06292415199,2033825.3866028127,2711809136.84868,19630.556055962694,1231228.47582998,2144528157.4313102
2038-07-01,51070.211312160536,3203123.6534987087,3444575449.7552557,32229.393741821103,2021427.5754870195,2713830564.424167,19519.140367568023,1224240.4838538663,2145752397.915164
2038-08-01,50818.128488843344,3187313.0188202546,3447762762.774076,32044.07326670468,2009804.2752877176,2715840368.699455,19405.57834167455,1217117.873589828,2146969515.7887537
2038-09-01,50520.65610520004,3168655.5509181465,3450931418.324994,31873.59128751524,1999111.6455529558,2717839480.345008,19292.781827897972,1210043.2762457607,2148179559.0649996
2038-10-01,50227.53067886916,3150270.7241786737,3454081689.049173,31688.85554272662,1987525.0196398136,2719827005.364648,19173.362898365755,1202553.3209855,2149382112.385985
2038-11-01,49999.01486509894,3135938.2123390054,3457217627.261512,31519.662298999025,1976913.2193932189,2721803918.584041,19076.7071251847,1196491.0708915845,2150578603.4568763
2038-12-01,49727.52141050821,3118910.142867075,3460336537.404379,31352.8562245344,1966451.1424027975,2723770369.726444,18979.15807013328,1190372.7941587593,2151768976.251035
2039-01-01,49506.22622224477,3105030.508659192,3463441567.9130383,31169.65597422661,1954960.822703493,2725725330.549147,18864.508969107468,1183182.0025424203,2152952158.2535777
2039-02-01,49249.88567468767,3088952.829516411,3466530520.7425547,31010.831293200277,1944999.3387095213,2727670329.8878565,18747.480102629845,1175841.9520369438,2154128000.2056146
2039-03-01,48981.95771596752,3072148.3879454825,3469602669.1305003,30837.602676906954,1934134.439895604,2729604464.327752,18630.86328024202,1168527.7449367796,2155296527.9505515
2039-04-01,48753.495615418906,3057819.244999074,3472660488.3754992,30667.52177322183,1923466.9656164732,2731527931.293369,18512.55863313014,1161107.6774699222,2156457635.6280212
2039-05-01,48476.10533167476,3040421.326402641,3475700909.701902,30494.934549662667,1912642.2949548424,2733440573.5883236,18405.259724726006,1154377.889934815,2157612013.5179563
2039-06-01,48240.33725342017,3025633.952534513,3478726543.6544366,30341.664158816657,1903029.1760409807,2735343602.7643647,18299.85715167805,1147767.0405532473,2158759780.5585093
2039-07-01,48008.69360876479,3011105.2631417275,3481737648.917578,30181.478962145477,1892982.3605057641,2737236585.1248703,18169.70500778654,1139603.8980883716,2159899384.456598
2039-08-01,47772.44836719294,2996287.9615903413,3484733936.8791685,30024.17196373405,1883116.0655653996,2739119701.190436,18071.030141793242,1133415.0104932722,2161032799.467091
2039-09-01,47543.66317701623,2981938.5544624575,3487715875.433631,29871.070723666635,1873513.5557883712,2740993214.7462244,17973.633361027205,1127306.2844036263,2162160105.751495
2039-10-01,47306.51775658952,2967064.7936932947,3490682940.227324,29725.377565346324,1864375.6808985213,2742857590.427123,17882.64769779139,1121599.663605476,2163281705.4151006
2039-11-01,47073.22739325269,2952432.8221048084,3493635373.049429,29563.12124134124,1854198.9642569225,2744711789.39138,17788.656256120263,1115704.5203838628,2164397409.9354844
2039-12-01,46820.99801725302,2936612.9956421093,3496571986.045071,29418.71214184713,1845141.6255366518,2746556931.0169163,17696.081155641565,1109898.210081839,2165507308.1455665
2040-01-01,46632.9044200438,2924815.765225147,3499496801.810296,29277.816139233444,1836304.6282527216,2748393235.645169,17594.888403085373,1103551.4006415147,2166610859.546208
2040-02-01,46422.270887576764,2911604.8300688146,3502408406.6403646,29128.057107022018,1826911.741752421,2750220147.3869214,17514.766422614062,1098526.150026354,2167709385.696234
2040-03-01,46205.48452474183,2898007.9893918075,3505306414.6297565,28979.027692111562,1817564.6168492371,2752037712.003771,17407.014853097957,1091767.9715863038,2168801153.6678205
2040-04-01,45988.5700804201,2884403.1154439487,3508190817.7452006,28838.873424111458,1808774.1411602707,2753846486.1449313,17306.82792883401,1085484.247696469,2169886637.915517
2040-05-01,45767.91550763106,2870563.66063862,3511061381.4058394,28699.730423562363,1800047.0921658315,2755646533.2370973,17208.093188610077,1079291.604789624,2170965929.5203066
2040-06-01,45535.541210729236,2855989.1447369377,3513917370.550576,28562.769002022647,1791456.8718068604,2757437990.1089044,17110.766562429308,1073187.2787955662,2172039116.7991023
2040-07-01,45326.3023743755,2842865.684920831,3516760236.235497,28420.3951320685,1782527.1826833363,2759220517.291588,17016.510302991508,1067275.5262036275,2173106392.325306
2040-08-01,45103.960100465534,2828920.377501198,3519589156.612998,28288.50416922986,1774254.9814940966,2760994772.273082,16934.207391712953,1062113.4876082365,2174168505.8129144
2040-09-01,44911.725649981454,2816863.4327668366,3522406020.045765,28145.154398474097,1765264.0838722952,2762760036.356954,16834.84094694898,1055881.22419264,2175224387.037107
2040-10-01,44716.682772364446,2804630.343482698,3525210650.3892474,28018.24730589348,1757304.4710256392,2764517340.8279796,16747.141130017582,1050380.6916747028,2176274767.7287817
2040-11-01,44519.82784584999,2792283.6024917113,3528002933.9917393,27879.74775725618,1748617.7793351077,2766265958.6073146,16679.468936701556,1046136.2917099216,2177320904.0204916
2040-12-01,44303.88879307983,2778739.905101967,3530781673.896841,27739.196901543,1739802.429664777,2768005761.036979,16590.604970945384,1040562.7437776944,2178361466.7642694
2041-01-01,44099.558928030485,2765924.335966072,3533547598.232807,27602.48712675353,1731227.9925899815,2769736989.029569,16509.98998583181,1035506.5719113711,2179396973.3361807
2041-02-01,43892.00348559428,2752906.4586164732,3536300504.6914234,27467.3321708967,1722751.073758641,2771459740.1033278,16429.686572716193,1030469.9418407596,2180427443.2780213
2041-03-01,43729.46389317984,2742711.9753802395,3539043216.666804,27327.908330402664,1714006.410482855,2773173746.5138106,16353.666558253011,1025701.9665336289,2181453145.244555
2041-04-01,43511.46398794637,2729039.0213239966,3541772255.688128,27205.903597824054,1706354.2736555247,2774880100.787466,16269.261824797177,1020408.1016512789,2182473553.346206
2041-05-01,43320.23998597737,2717045.451920501,3544489301.1400485,27088.289234521,1698977.5007891569,2776579078.288255,16191.769324872994,1015547.7720560342,2183489101.1182623
2041-06-01,43139.97048621366,2705738.9488953203,3547195040.088944,26972.392952861122,1691708.4860034497,2778270786.7742586,16118.88906281879,1010976.7220199944,2184500077.8402824
2041-07-01,42944.409105308776,2693473.3390849666,3549888513.428029,26846.968652208932,1683841.873866544,2779954628.648125,16028.784659857532,1005325.3738662645,2185505403.2141485
2041-08-01,42782.76138199135,2683334.7938784976,3552571848.2219076,26724.67551254658,1676171.6481469213,2781630800.2962723,15948.684553745543,1000301.4952109205,2186505704.7093596
2041-09-01,42582.3159854786,2670762.8586092177,3555242611.080517,26602.376326622605,1668501.0432057697,2783299301.339478,15868.190402344659,995252.902035057,2187500957.611395
