Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2034-02-01,74561.89265532435,4676521.907341943,3333064091.2686915,46253.1117844856,2900995.1711229365,2619792277.896941,27820.029197323827,1744872.2312561504,2083664830.4064703
2034-03-01,73985.68795250205,4640382.348380929,3337704473.6170726,45827.85549200165,2874323.0964583433,2622666600.9933996,27527.670539968334,1726535.496266814,2085391365.9027371
2034-04-01,73379.17275278056,4602341.715054397,3342306815.332127,45407.20854403938,2847940.1198821496,2625514541.1132817,27237.365796315495,1708327.5827449078,2087099693.485482
2034-05-01,72786.73571075761,4565184.063778717,3346871999.395906,44995.42197378977,2822112.8661960945,2628336653.979478,26962.080797075425,1691061.7075925707,2088790755.1930745
2034-06-01,72182.69517987658,4527298.641681859,3351399298.0375876,44613.42755630057,2798154.1763311718,2631134808.155809,26688.791835535347,1673921.0239247768,2090464676.2169993
2034-07-01,71605.23297344493,4491080.212094466,3355890378.249682,44231.46220960389,2774197.3097863556,2633909005.4655952,26444.344099339127,1658589.26191055,2092123265.4789097
2034-08-01,71057.37795447916,4456718.745304933,3360347096.994987,43863.060518064594,2751091.1556930114,2636660096.6212883,26188.426534228158,1642538.11222679,2093765803.5911365
2034-09-01,70518.98573624738,4422950.785377436,3364770047.7803645,43485.98097497437,2727440.7267503925,2639387537.3480387,25944.707752468963,1627252.0702348533,2095393055.6613712
2034-10-01,69949.35007683076,4387223.236818825,3369157271.0171833,43109.50250172137,2703827.9969079643,2642091365.344947,25711.342926739515,1612615.4283651023,2097005671.0897362
2034-11-01,69425.10130927252,4354342.354117572,3373511613.3713007,42761.83298520264,2682022.16483191,2644773387.509779,25462.405071610723,1597002.0460914245,2098602673.1358275
2034-12-01,68903.93161097616,4321654.590640425,3377833267.9619412,42406.04184907064,2659706.944773711,2647433094.4545527,25240.529487576645,1583086.009460807,2100185759.1452885
2035-01-01,68416.08849430998,4291057.070363122,3382124325.0323043,42048.63726630132,2637290.5293424185,2650070384.9838953,25010.561773941758,1568662.434461627,2101754421.57975
2035-02-01,67868.38792955528,4256705.290941707,3386381030.323246,41710.54439172929,2616085.3442492606,2652686470.3281446,24795.518831228972,1555174.9410946812,2103309596.5208447
2035-03-01,67373.8207272881,4225686.03601551,3390606716.3592615,41380.653099005984,2595394.5623696554,2655281864.8905144,24552.524817816156,1539934.3565734292,2104849530.877418
2035-04-01,66868.93871599736,4194019.836267354,3394800736.195529,41064.129911340635,2575542.2280392847,2657857407.1185536,24340.489104782653,1526635.476651968,2106376166.35407
