Date,P10_Production_bbl,P10_Revenue_USD,P10_Cumulative_Revenue_USD,P50_Production_bbl,P50_Revenue_USD,P50_Cumulative_Revenue_USD,P90_Production_bbl,P90_Revenue_USD,P90_Cumulative_Revenue_USD
2037-02-01,88635.08025290561,5559192.23346224,4332799085.168042,43442.88256558662,2724737.594513593,2912692117.809222,19958.040891674395,1251768.324725818,1974936952.1312566
2037-03-01,88165.31891072921,5529728.802080936,4338328813.970123,43181.887391412485,2708367.977189391,2915400485.786412,19815.494771349633,1242827.832059049,1976179779.9633157
2037-04-01,87642.45863153103,5496935.005369626,4343825748.9754925,42925.977413095556,2692317.3033493534,2918092803.0897613,19678.57145521993,1234240.001671394,1977414019.964987
2037-05-01,87269.3719150776,5473535.006513667,4349299283.982006,42721.131129242895,2679469.344426114,2920772272.4341874,19539.387415069938,1225510.3786731865,1978639530.34366
2037-06-01,86757.7338115037,5441445.064657512,4354740729.046663,42425.56877369653,2660931.6734862463,2923433204.1076736,19414.155797226173,1217655.8516020256,1979857186.1952622
2037-07-01,86268.87376322185,5410783.762429275,4360151512.8090925,42203.22731191666,2646986.4170034127,2926080190.5246773,19271.51030205658,1208709.1261449887,1981065895.321407
2037-08-01,85853.9180919785,5384757.742728892,4365536270.551822,41951.09358825987,2631172.5898556593,2928711363.114533,19143.44874418935,1200677.1052355561,1982266572.4266427
2037-09-01,85376.8800633243,5354837.917571699,4370891108.469394,41717.29865245646,2616508.971482069,2931327872.086015,18986.791616708197,1190851.570199938,1983457423.9968426
2037-10-01,84905.07722202814,5325246.443365605,4376216354.91276,41456.21819013021,2600134.0048849666,2933928006.0909004,18846.601327803925,1182058.8352798622,1984639482.8321226
2037-11-01,84611.91214405624,5306859.129675208,4381523214.042435,41221.72134246518,2585426.3625994157,2936513432.4535,18730.50107583221,1174777.0274761962,1985814259.8595989
2037-12-01,84216.54314085629,5282061.585794507,4386805275.628229,40994.1769553294,2571154.77863826,2939084587.232138,18590.79377914636,1166014.5858280596,1986980274.445427
2038-01-01,83771.45764080797,5254145.823231476,4392059421.451461,40774.18855137914,2557357.1059425,2941641944.338081,18467.75178351,1158297.3918617473,1988138571.8372886
2038-02-01,83344.79459927433,5227385.517266486,4397286806.968727,40555.624478096135,2543648.7672661897,2944185593.105347,18354.120858151924,1151170.4602232887,1989289742.2975118
2038-03-01,82930.99892831613,5201432.252783988,4402488239.221511,40317.98983816307,2528744.322649588,2946714337.4279966,18240.723517087794,1144058.1789917464,1990433800.4765036
2038-04-01,82528.37669658578,5176179.78640986,4407664419.007921,40066.732896515416,2512985.4872694467,2949227322.915266,18118.83245654721,1136413.171674641,1991570213.6481783
2038-05-01,82123.18771320839,5150766.33337243,4412815185.341293,39852.56684067284,2499552.9922470003,2951726875.907513,17999.18679457349,1128908.9957556492,1992699122.643934
2038-06-01,81673.83287756571,5122582.798080921,4417937768.139374,39651.926764862146,2486968.8466921537,2954213844.754205,17881.97574158174,1121557.5185120066,1993820680.162446
2038-07-01,81283.2454930983,5098085.157327125,4423035853.2967005,39430.0222315943,2473050.994365595,2956686895.748571,17776.333770076093,1114931.6540591726,1994935611.8165052
2038-08-01,80918.5204007089,5075209.599532463,4428111062.896233,39193.87906205427,2458240.0947720436,2959145135.843343,17658.827196486654,1107561.641763643,1996043173.458269
2038-09-01,80531.71085741877,5050948.904977306,4433162011.801209,38999.38105227951,2446041.179598971,2961591177.0229416,17540.547829030354,1100143.1598367838,1997143316.6181056
2038-10-01,80093.86218004914,5023487.0359326815,4438185498.837142,38773.455155463584,2431871.107350676,2964023048.1302924,17433.057680921756,1093401.3777474125,1998236717.995853
2038-11-01,79777.47750914178,5003643.389373372,4443189142.226516,38562.354186334036,2418630.8545668707,2966441678.9848595,17329.0807042608,1086879.9417712374,1999323597.9376242
2038-12-01,79394.75043658697,4979638.747382735,4448168780.973899,38349.84085186449,2405302.0182289407,2968846981.0030885,17216.911136672785,1079844.666492117,2000403442.6041164
2039-01-01,79053.84825521361,4958257.362566997,4453127038.336466,38154.49728060527,2393050.0694395625,2971240031.072528,17107.751981718215,1072998.2042933663,2001476440.8084097
2039-02-01,78658.29531117751,4933448.281917053,4458060486.618382,37974.59599173038,2381766.660601329,2973621797.733129,16985.220731300265,1065313.0442671527,2002541753.8526769
2039-03-01,78370.1284552385,4915374.456712559,4462975861.075095,37764.42234939888,2368584.569754298,2975990382.302883,16880.740574882864,1058760.0488566533,2003600513.9015336
2039-04-01,77966.14387658967,4890036.543939704,4467865897.619035,37563.24246696119,2355966.5675278055,2978346348.870411,16776.949884339378,1052250.2967457657,2004652764.1982794
2039-05-01,77714.75523056243,4874269.448060876,4472740167.067096,37362.90925676682,2343401.6685844148,2980689750.5389953,16671.33026597818,1045625.8342821514,2005698390.0325615
2039-06-01,77405.27037840945,4854858.558133841,4477595025.62523,37181.948396582986,2332051.8034336846,2983021802.342429,16576.140667897325,1039655.5426905202,2006738045.575252
2039-07-01,77016.73058679781,4830489.342403959,4482425514.967634,37000.16295932935,2320650.2208091365,2985342452.563238,16472.7556439102,1033171.2339860478,2007771216.8092382
2039-08-01,76666.56812527012,4808527.152816942,4487234042.120451,36812.11426155566,2308855.806484771,2987651308.369723,16371.567743436784,1026824.7288683552,2008798041.5381064
2039-09-01,76315.8556797599,4786530.468234541,4492020572.588686,36626.36170746252,2297205.406292049,2989948513.776015,16285.153882439829,1021404.851506626,2009819446.3896132
2039-10-01,75973.51603390374,4765058.925646442,4496785631.514333,36439.8236038338,2285505.736432456,2992234019.5124474,16190.09410673982,1015442.7023747215,2010834889.0919878
2039-11-01,75715.95237924282,4748904.53322611,4501534536.047559,36262.9225326043,2274410.5012449417,2994508430.0136924,16101.390879693174,1009879.2359743558,2011844768.3279622
2039-12-01,75304.23429143688,4723081.574758921,4506257617.622317,36083.65180424791,2263166.6411624285,2996771596.654855,16006.162062382307,1003906.4845526183,2012848674.8125148
2040-01-01,75061.13169794563,4707834.18009515,4510965451.802412,35904.23847995997,2251913.8374630893,2999023510.4923177,15916.93675178522,998310.273071969,2013846985.0855868
2040-02-01,74728.66414137551,4686981.814947072,4515652433.617359,35764.24802428086,2243133.6360828956,3001266644.128401,15827.052529930532,992672.7346772429,2014839657.820264
2040-03-01,74433.00176738069,4668437.870850117,4520320871.48821,35585.83432594269,2231943.5289231255,3003498587.657324,15724.71416662988,986254.072531026,2015825911.892795
2040-04-01,74056.98566118347,4644854.140669427,4524965725.62888,35398.347258486654,2220184.340052283,3005718771.997376,15626.313091945758,980082.357126838,2016805994.249922
2040-05-01,73742.33575275393,4625119.298412726,4529590844.927292,35253.21485948668,2211081.6359870047,3007929853.633363,15550.616230026304,975334.6499472498,2017781328.8998692
2040-06-01,73457.30503099998,4607242.171544319,4534198087.098836,35080.89876613287,2200273.9706118535,3010130127.603975,15470.061106070334,970282.2325727313,2018751611.132442
2040-07-01,73138.85839325032,4587269.198424661,4538785356.29726,34903.72685663645,2189161.7484482382,3012319289.352423,15396.348433524308,965658.9737506446,2019717270.1061926
2040-08-01,72814.49738210363,4566925.275805539,4543352281.573066,34734.134016759745,2178524.885531171,3014497814.237954,15319.613717529712,960846.1723634636,2020678116.278556
2040-09-01,72607.94887765466,4553970.553606501,4547906252.126672,34594.47638808148,2169765.55906047,3016667579.7970147,15226.11799129507,954982.1204140268,2021633098.3989701
2040-10-01,72307.59932642811,4535132.629753571,4552441384.756425,34418.382565724314,2158720.954522229,3018826300.751537,15136.503067575579,949361.4723983402,2022582459.8713684
2040-11-01,71927.86355176642,4511315.60196679,4556952700.358392,34272.42807032916,2149566.6885710447,3020975867.440108,15057.021559863579,944376.3922346437,2023526836.263603
2040-12-01,71658.14463512637,4494398.831515126,4561447099.189907,34107.41055619125,2139216.790084315,3023115084.230192,14977.065362227919,939361.539518935,2024466197.8031218
2041-01-01,71418.76010552484,4479384.633818517,4565926483.823726,33943.53469823849,2128938.496273518,3025244022.7264657,14905.416665799932,934867.7332789717,2025401065.5364008
2041-02-01,71120.50995465153,4460678.384355743,4570387162.208081,33789.99341029447,2119308.386693669,3027363331.113159,14827.124528464705,929957.2504253063,2026331022.7868261
2041-03-01,70814.93008567095,4441512.414973281,4574828674.6230545,33625.0784548071,2108964.9206855013,3029472296.0338445,14752.26338879141,925261.9597449973,2027256284.746571
